Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29
Префектура Северного административного округа,,Администрации районов / округов городской власти,"Тимирязевская, 27",1 этаж,127422.0,,Тимирязевский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84999764727,,,http://www.sao.mos.ru,,,,,,55.816568,37.563262,https://2gis.com/firm/4504127908658062,,,,
Префектура Северо-Восточного административного округа,,Администрации районов / округов городской власти,"проспект Мира, 18",,129090.0,,Мещанский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84956817181,,,http://svao.mos.ru,,,https://twitter.com/pressSVAO,https://vk.com/svaomosru,https://youtube.com/channel/UC3ISAqbQX6dgvzyFoQWF-iA,55.776373,37.633615,https://2gis.com/firm/4504127908658529,,,,
Префектура Юго-Восточного административного округа,,Администрации районов / округов городской власти,"Авиамоторная улица, 10",,111024.0,,Лефортово район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84953612382,84953622248,,,,,,,,55.753889,37.714564,https://2gis.com/firm/4504127908669684,,,,
Префектура Южного административного округа,,Администрации районов / округов городской власти,"Автозаводская улица, 10",,115280.0,,Даниловский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84957523339,,,http://uao.mos.ru,,,,,,55.705869,37.654319,https://2gis.com/firm/70000001026876365,,,,
Префектура Юго-Западного административного округа,,Администрации районов / округов городской власти,"Севастопольский проспект, 28 к4",,117209.0,,Черёмушки район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84991287769 (приемная),,,http://uzao.mos.ru,,,,,,55.662749,37.576073,https://2gis.com/firm/4504127908669996,,,,
Префектура Центрального административного округа,,Администрации районов / округов городской власти,"Марксистская, 24",,109147.0,,Таганский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84959125503 (приемная),,,http://www.cao.mos.ru,,,,,,55.73677,37.661484,https://2gis.com/firm/4504127908669251,,,,
Управа Басманного района,,Администрации районов / округов городской власти,"Новая Басманная улица, 37 ст1",2 этаж,105066.0,,Басманный район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992610640 (круглосуточный),84992610648,,http://basman.mos.ru,,,,,,55.770397,37.668805,https://2gis.com/firm/4504127908557268,,,,
Префектура Восточного административного округа,,Администрации районов / округов городской власти,"Преображенская площадь, 9",,107076.0,,Преображенское район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:00-17:00; Вт: 08:00-12:30, 13:00-17:00; Ср: 08:00-12:30, 13:00-17:00; Чт: 08:00-12:30, 13:00-17:00; Пт: 08:00-12:30, 13:00-15:45",+03:00,84991611203,,,http://www.vao.mos.ru,,,,https://vk.com/vaonews,,55.796845,37.70931,https://2gis.com/firm/4504127908652718,,,,
Управа района Люблино,,Администрации районов / округов городской власти,"Люблинская улица, 53",2 этаж,109387.0,,Люблино район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84953501733,,,http://lublino.mos.ru,,,,,,55.689928,37.73698,https://2gis.com/firm/4504127908559065,,,,
Управа района Вешняки,,Администрации районов / округов городской власти,"Вешняковская улица, 9 к2 ст2",1 этаж,111539.0,,Вешняки район,Москва,,Москва,Россия,"Пн: 08:00-12:30, 13:15-17:00; Вт: 08:00-12:30, 13:15-17:00; Ср: 08:00-12:30, 13:15-17:00; Чт: 08:00-12:30, 13:15-17:00; Пт: 08:00-12:30, 13:15-15:45",+03:00,84953702220 (приемная),,,http://veshnyaki.mos.ru,,,,,,55.736294,37.829165,https://2gis.com/firm/4504127908504017,,,,
Префектура Западного административного округа,,Администрации районов / округов городской власти,"Ивана Франко, 12",,121351.0,,Кунцево район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84954434335,84991408962,84954436463,http://www.mos-zao.ru,,,,,,55.728311,37.443212,https://2gis.com/firm/4504127908657381,,,,
Управа Тверского района,,Администрации районов / округов городской власти,"Цветной бульвар, 21 ст8",,127051.0,,Тверской район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 08:00-12:00, 12:45-15:45",+03:00,84992515866 (горячая линия: круглосуточно),,,http://tveruprava.mos.ru,,,,,,55.772165,37.62011,https://2gis.com/firm/4504127908558106,,,,
Управа Мещанского района,,Администрации районов / округов городской власти,"проспект Мира, 5 ст2",1-3 этаж,129090.0,,Мещанский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 13:00-17:00; Вт: 08:00-12:00, 13:00-17:00; Ср: 08:00-12:00, 13:00-17:00; Чт: 08:00-12:00, 13:00-17:00; Пт: 08:00-12:00, 13:00-15:45",+03:00,84956076940 (приемная),,,,,,,https://vk.com/upravames,,55.774819,37.632037,https://2gis.com/firm/4504127908557860,,,,
Управа Таганского района,,Администрации районов / округов городской власти,"Воронцовская улица, 21",2 этаж,109147.0,,Таганский район,Москва,,Москва,Россия,"Пн: 08:00-12:00, 12:45-17:00; Вт: 08:00-12:00, 12:45-17:00; Ср: 08:00-12:00, 12:45-17:00; Чт: 08:00-12:00, 12:45-17:00; Пт: 09:00-12:00, 12:45-15:45",+03:00,84959124384 (горячая линия - круглосуточно),,,,,,,,,55.737108,37.659273,https://2gis.com/firm/70000001061376599,,,,
