Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
Почта России,почтомат,Постаматы,"улица Кожевническая, 7 ст1",1 этаж,115114,,Замоскворечье район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-19:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.730147,37.645149,https://2gis.com/firm/70000001057201203
Леруа Мерлен,постамат,Постаматы,"проспект Лихачёва, 15",1 этаж,115280,,Даниловский район,Москва,,Москва,Россия,Пн: 08:00-23:00; Вт: 08:00-23:00; Ср: 08:00-23:00; Чт: 08:00-23:00; Пт: 08:00-23:00; Сб: 08:00-23:00; Вс: 08:00-23:00,+03:00,,,,,,,,,,55.699468,37.646076,https://2gis.com/firm/70000001063502458
Яндекс.Маркет,постамат,Постаматы,"Новинский бульвар, 8",1 этаж,121099,,Арбат район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.751194,37.583715,https://2gis.com/firm/70000001052026510
Wildberries,интернет-магазин,Постаматы,"Нижегородская улица, 3",,109147,,Таганский район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-21:00; Вс: 10:00-21:00,+03:00,84957755505 (единый номер: пн-вс 9:00-21:00),,,http://wildberries.ru,,,https://twitter.com/wildberries_ru,https://vk.com/wildberries_shop,,55.739603,37.676624,https://2gis.com/firm/70000001058950703
OZON box,автоматизированный пункт выдачи,Постаматы,"Тверская-Ямская 1-я, 2 ст1",2 этаж,127006,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.770355,37.596673,https://2gis.com/firm/70000001030443821
OZON box,автоматизированный пункт выдачи,Постаматы,"Нижний Сусальный переулок, 5 ст1",1 этаж,105064,,Басманный район,Москва,,Москва,Россия,Пн: 07:30-21:00; Вт: 07:30-21:00; Ср: 07:30-21:00; Чт: 07:30-21:00; Пт: 07:30-21:00; Сб: 08:00-21:00; Вс: 10:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.761675,37.663223,https://2gis.com/firm/70000001032122591
Почта России,почтомат,Постаматы,"Лубянский проезд, вход метро №5",,101000,,Басманный район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.759396,37.628358,https://2gis.com/firm/70000001059072855
PickPoint,постамат,Постаматы,"Тишинская площадь, 1 ст1",1 этаж,123056,,Пресненский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.768953,37.583296,https://2gis.com/firm/4504128908631962
PickPoint,постамат,Постаматы,"Международная, 15",1 этаж,109544,,Таганский район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.74575,37.684899,https://2gis.com/firm/70000001046501015
Почта России,почтомат,Постаматы,"улица Куусинена, 2 к1",цокольный этаж,123308,,Хорошёвский район,Москва,,Москва,Россия,Пн: 09:00-20:00; Вт: 09:00-20:00; Ср: 09:00-20:00; Чт: 09:00-20:00; Пт: 09:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.77828,37.517563,https://2gis.com/firm/70000001060695091
Почта России,почтомат,Постаматы,"Комсомольская площадь, 6",2 этаж,107140,,Красносельский район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-22:00; Вс: 09:00-22:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.776099,37.659764,https://2gis.com/firm/70000001062468663
Почта России,почтомат,Постаматы,"площадь Киевского вокзала, вл1",,121059,,Дорогомилово район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.744128,37.566939,https://2gis.com/firm/70000001057344163
OZON box,автоматизированный пункт выдачи,Постаматы,"улица Студенческая, 23",1 этаж; аптека Будь здоров!,121165,,Дорогомилово район,Москва,,Москва,Россия,Пн: 09:00-22:00; Вт: 09:00-22:00; Ср: 09:00-22:00; Чт: 09:00-22:00; Пт: 09:00-22:00; Сб: 09:00-21:00; Вс: 09:00-21:00,+03:00,88002347000,,,http://www.ozon.ru,,,https://twitter.com/ozon_ru,https://vk.com/ozon,,55.741354,37.546365,https://2gis.com/firm/70000001030708762
PickPoint,постамат,Постаматы,"Театральный проезд, 5 ст1",2 этаж,109012,,Мещанский район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.760155,37.625842,https://2gis.com/firm/70000001041403956
Cainiao,постамат,Постаматы,"Мичуринский проспект, 3 ст1",,119192,Шуваловский Prima жилой комплекс,Раменки район,Москва,,Москва,Россия,Пн: 10:00-22:00; Вт: 10:00-22:00; Ср: 10:00-22:00; Чт: 10:00-22:00; Пт: 10:00-22:00; Сб: 10:00-22:00; Вс: 10:00-22:00,+03:00,84951621088 (единая справочная: пн-вс 7:00-21:00),88002344899 (единая справочная: пн-вс 7:00-21:00),,http://cainiao.ru,,,,,,55.70356,37.513028,https://2gis.com/firm/70000001062443560
PickPoint,постамат,Постаматы,"Карманицкий переулок, 9",1 этаж,119002,,Арбат район,Москва,,Москва,Россия,,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.748294,37.583867,https://2gis.com/firm/70000001064724060
Почта России,почтомат,Постаматы,"Тверская улица, вход метро №2",,127006,,Тверской район,Москва,,Москва,Россия,Пн: 00:00-24:00; Вт: 00:00-24:00; Ср: 00:00-24:00; Чт: 00:00-24:00; Пт: 00:00-24:00; Сб: 00:00-24:00; Вс: 00:00-24:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.765622,37.604197,https://2gis.com/firm/70000001055484241
PickPoint,постамат,Постаматы,"Оружейный переулок, 41",1 этаж,127006,,Тверской район,Москва,,Москва,Россия,Пн: 09:00-19:00; Вт: 09:00-19:00; Ср: 09:00-19:00; Чт: 09:00-19:00; Пт: 09:00-19:00; Сб: 09:00-19:00; Вс: 09:00-19:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.773415,37.606158,https://2gis.com/firm/70000001041399294
Почта России,почтомат,Постаматы,"улица Орджоникидзе, 6 к9",1 этаж,115419,,Донской район,Москва,,Москва,Россия,Пн: 09:00-23:00; Вт: 09:00-23:00; Ср: 09:00-23:00; Чт: 09:00-23:00; Пт: 09:00-23:00; Сб: 09:00-23:00; Вс: 09:00-23:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.710598,37.598272,https://2gis.com/firm/70000001061605722
Почта России,почтомат,Постаматы,"улица Большая Филёвская, 3",1 этаж,121087,,Филёвский парк район,Москва,,Москва,Россия,Пн: 10:00-21:00; Вт: 10:00-21:00; Ср: 10:00-21:00; Чт: 10:00-21:00; Пт: 10:00-21:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,88002005888 (единая справочная: круглосуточно),88001000000 (единая справочная: круглосуточно),,http://pochta.ru,,,https://twitter.com/ruspostofficial,https://vk.com/russianpost,https://youtube.com/channel/UCLD0z0qgV1mIMt6NzUKQmuA,55.752029,37.513833,https://2gis.com/firm/70000001054795282
PickPoint,постамат,Постаматы,"Люблинская улица, 4 к1а",2 этаж,109125,,Текстильщики район,Москва,,Москва,Россия,Пн: 08:00-21:00; Вт: 08:00-21:00; Ср: 08:00-21:00; Чт: 08:00-21:00; Пт: 08:00-21:00; Сб: 09:00-20:00; Вс: 09:00-20:00,+03:00,84959843122 (единая справочная: круглосуточно),88007007909 (контакт-центр),84959881230 (единая справочная: круглосуточно),http://pickpoint.ru,,,https://twitter.com/pickpoint_ru,https://vk.com/pickpoint_rus,https://youtube.com/channel/UC3v9nmkVBNuVBVxTySdsoqw,55.708948,37.732263,https://2gis.com/firm/70000001031503521
Яндекс.Маркет,постамат,Постаматы,"1-й Красногвардейский проезд, 19",,123112,,Пресненский район,Москва,,Москва,Россия,,+03:00,84954143000 (единый номер: круглосуточно),84951363796 (единый номер: круглосуточно),,http://clck.ru/sSLPr,http://market.yandex.ru,,https://twitter.com/yandexmarket,https://vk.com/yandex,,55.750456,37.535597,https://2gis.com/firm/70000001059468186
