Наименование,Описание,Рубрики,Адрес,Комментарий к адресу,Почтовый индекс,Микрорайон,Район,Город,Округ,Регион,Страна,Часы работы,Часовой пояс,Телефон 1,Телефон 2,Телефон 3,E-mail,Веб-сайт 1,Веб-сайт 2,Веб-сайт 3,Twitter,ВКонтакте,YouTube,Широта,Долгота,2GIS URL
WOW,жилой комплекс,Новостройки,"жилой комплекс WOW, к1",,115280.0,,Даниловский район,Москва,,Москва,Россия,,+03:00,88002220202,84992833915,,info@strana.com,http://lp.strana-wow.com/?utm_source=2gis&utm_medium=banner&utm_campaign=mediika,,,,https://vk.com/strana_com,https://youtube.com/channel/UC41JRLqz8eKjcjOjGo8rOAA,55.688042,37.658118,https://2gis.com/firm/70000001060384734
Восемь Кленов,жилой комплекс,Новостройки,"Новая Московская улица, 49 к3",,143443.0,Опалиха м-н,,Красногорск,Красногорск городской округ,Московская область,Россия,,+03:00,84952813634 (отдел продаж - пн-вс 9:00-21:00),,,,http://8кленов.рф/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,http://city-xxi.ru,http://jivo.chat/qEcF6PxAuf,,,,55.834239000000004,37.250601,https://2gis.com/firm/70000001052591910
Испанские кварталы,жилой комплекс,Новостройки,"бульвар Веласкеса, 10",дом сдан,108802.0,,Сосенское поселение,Москва,,Москва,Россия,,+03:00,84951538765 (отдел продаж: пн-вс 9:00-21:00),,,info@a101.ru,http://a101.ru/projects/ispanskie-kvartaly-a101/?type=realty&utm_source=2gis&utm_medium=specpaket&utm_campaign=ispanskie-kvartaly-a101,,,,https://vk.com/a101ru,https://youtube.com/channel/UCZKVcmR1XA_Hhsz4jOJQFqg,55.592431999999995,37.462895,https://2gis.com/firm/70000001031439585
Хилл 8,жилой комплекс,Новостройки,"проспект Мира, 95",1 этаж,129085.0,,Останкинский район,Москва,,Москва,Россия,,+03:00,84952813074 (отдел продаж),,,sales@city-xxi.ru,http://hill8.ru/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,http://forum-hill8.ru,,,,,55.807425,37.636131,https://2gis.com/firm/70000001052132614
Dom Smile,,Новостройки,"улица Колпакова, к23",,141008.0,17-й м-н,,Мытищи,Мытищи городской округ,Московская область,Россия,,+03:00,84950852425 (отдел продаж - пн-вс 9:00-21:00),,,,http://domsmile.ru/?utm_source=2gis,,,,,,55.924124,37.718388,https://2gis.com/firm/70000001050885112
Зорге 9,жилой комплекс,Новостройки,"улица Зорге, к1 стр",,125252.0,,Хорошёвский район,Москва,,Москва,Россия,,+03:00,84958468223 (отдел продаж - пн-вс 9:00-21:00),,,info@stmichael.ru,http://zorge9.com/?utm_source=2gis&utm_medium=map&utm_campaign=sept,,,,https://vk.com/zorge9,https://youtube.com/%D0%97%D0%BE%D1%80%D0%B3%D0%B59,55.783152,37.509525,https://2gis.com/firm/70000001041524505
Равновесие,строящийся жилой дом,Новостройки,"село Перхушково, к6 стр",,,,,,Одинцовский городской округ,Московская область,Россия,,+03:00,84950857305 (отдел продаж),,,reception@kortros.ru,http://ravnovesie.house/?utm_source=2gis&utm_medium=banner&utm_campaign=oct22&utm_content=spec_all,,,,,,55.651219999999995,37.124137,https://2gis.com/firm/70000001047106979
Hide,жилой комплекс,Новостройки,"1-й Сетуньский проезд, вл6-10 к2 стр",,119136.0,,Раменки район,Москва,,Москва,Россия,,+03:00,84950324331 (отдел продаж),,,mr@mr-group.ru,http://hide.moscow,,,,,,55.732413,37.541045000000004,https://2gis.com/firm/70000001048109633
Дивное,жилой комплекс,Новостройки,"Дивный бульвар, 14",,,,,Видное,Ленинский городской округ,Московская область,Россия,,+03:00,84952923627 (отдел продаж - пн-вс 9:00-21:00),,,,http://дивное.рф/?utm_source=2gis&utm_medium=media&utm_campaign=2gis,,,,,,55.56262099999999,37.708432,https://2gis.com/firm/70000001043889201
Senator,жилой комплекс,Новостройки,"проспект Мира, 105",,129085.0,,Останкинский район,Москва,,Москва,Россия,Пн: 10:00-20:00; Вт: 10:00-20:00; Ср: 10:00-20:00; Чт: 10:00-20:00; Пт: 10:00-20:00; Сб: 10:00-20:00; Вс: 10:00-20:00,+03:00,84994604482 (отдел продаж),,,,http://zk-senator.ru/?utm_source=2gis&utm_medium=karta&utm_term=msk&utm_content=banner&utm_campaign=zksenator,,,,,,55.814227,37.634493,https://2gis.com/firm/70000001059006976
