,№ - ТОП,№,Адрес,Площадь м2,Год,Этажей,Подьездов,Помещений / Квартир
0,,17725.0,"пр-кт. Маршала Жукова, д. 12, к. 3, Москва",4371.7,1959,4,,
2,,17729.0,"пр-кт. Маршала Жукова, д. 14, к. 2, Москва",4358.5,1959,4,,
3,,17878.0,"ул. Маршала Конева, д. 9, Москва",1170.0,1949,4,,
4,,17892.0,"ул. Маршала Мерецкова, д. 4, Москва",2672.0,1951,4,,
5,,17923.0,"ул. Маршала Новикова, д. 1, Москва",3618.8,1947,4,,
6,,17930.0,"ул. Маршала Новикова, д. 5, Москва",3421.6,1947,4,,
7,,17938.0,"ул. Маршала Новикова, д. 10, к. 1, Москва",3567.0,1938,4,,
8,,17946.0,"ул. Маршала Новикова, д. 19, к. 1, Москва",2219.0,1959,4,,
9,,17947.0,"ул. Маршала Новикова, д. 19, к. 2, Москва",3665.0,1958,4,,
10,,18070.0,"ул. Маршала Соколовского, д. 6, Москва",1082.0,1948,4,,
11,,18077.0,"ул. Маршала Тимошенко, д. 4, Москва",3462.7,1955,4,3,47
13,,18081.0,"ул. Маршала Тимошенко, д. 10, Москва",3678.3,1957,4,,
14,,18323.0,"ул. Матросова, д. 1, Москва",5945.0,1953,4,,
15,,18324.0,"ул. Матросова, д. 3, Москва",3582.0,1954,4,,
16,,18325.0,"ул. Матросова, д. 5, Москва",5442.0,1955,4,,
17,,18326.0,"ул. Матросова, д. 6, Москва",4709.0,1958,4,,
18,,18327.0,"ул. Матросова, д. 7, к. 1, Москва",5391.0,1959,4,,
19,,18330.0,"ул. Матросова, д. 7, к. 4, Москва",3444.0,1954,4,,
20,,18350.0,"ул. Машкова, д. 10, стр. 2, Москва",1320.3,1907,4,,
21,,18356.0,"ул. Машкова, д. 21, Москва",932.2,1917,4,,
22,,18359.0,"ул. Машкова, д. 26, стр. 1, Москва",602.7,1917,4,,
23,,18360.0,"ул. Машкова, д. 26, стр. 2, Москва",760.6,1905,4,,
24,,18361.0,"ул. Машкова, д. 28/20, стр. 2, Москва",1253.0,1917,4,,
25,,18417.0,"ул. Международная, д. 9, Москва",1162.0,1956,4,,
